szerokość przekroju;wysokość przekroju;rozpiętość;stopień zbrojenia;średnica zbrojenia;Otulina;Moduł Younga stali;Moduł Younga betonu;Wytrzymałość betonu na rozciąganie;Obciążenie;Ugięcia
0.2;0.39;2.8;0.71;0.019;0.036;234;28;2.2;39.9;0.001431926
0.17;0.35;7.8;1.25;0.019;0.028;235;29;2.8;39.8;0.04340554
0.22;0.27;4.6;0.95;0.016;0.029;236;29;2.3;40;0.020318664
0.24;0.33;3.9;1.26;0.021;0.025;237;29;2.2;36.3;0.003186285
0.19;0.28;4.9;1.26;0.024;0.037;238;32;2.5;41.4;0.023962408
0.18;0.32;5.1;0.62;0.016;0.038;239;29;2.7;44.4;0.032387559
0.21;0.32;7;1.26;0.01;0.026;240;31;2.6;43.9;0.033990382
0.21;0.38;6.2;1.01;0.017;0.038;241;30;2.5;39.8;0.015668229
0.17;0.25;8;0.94;0.024;0.028;242;33;2.4;38.1;0.181378403
0.19;0.2;6.9;1.22;0.022;0.025;243;32;2.8;41.8;0.197536512
0.18;0.28;4.7;1.11;0.011;0.036;244;33;2;35.8;0.018932653
0.24;0.32;4.1;0.92;0.011;0.035;245;30;2.4;43.7;0.007603208
0.17;0.21;5.1;0.54;0.02;0.036;246;29;2.3;40.5;0.165287342
0.22;0.31;3.2;1.1;0.014;0.032;247;28;2.6;43.5;0.003304865
0.18;0.38;4.4;1.14;0.011;0.028;248;29;2.7;43.8;0.005231093
0.24;0.27;5.8;0.92;0.024;0.031;249;29;2.3;36.4;0.036458962
0.15;0.29;6.4;0.68;0.019;0.033;250;30;2.4;37.8;0.081184111
0.15;0.39;7.2;1.27;0.022;0.034;251;31;2.3;37.2;0.024938215
0.23;0.38;7.1;1.3;0.01;0.03;252;28;2.1;35.7;0.013872939
0.22;0.39;3.5;0.56;0.011;0.031;253;31;2.2;39.5;0.002935979
0.17;0.34;4.1;1.17;0.014;0.038;254;32;2.3;40.5;0.007019903
0.15;0.24;3.2;1.18;0.009;0.034;255;31;2.6;40.1;0.012288019
0.17;0.22;4.8;1.13;0.009;0.034;256;32;2.2;41;0.054531328
0.21;0.35;5.9;0.58;0.012;0.028;257;30;2.7;43.1;0.026191979
0.19;0.33;6.4;0.85;0.02;0.027;258;32;2.5;44.1;0.035599802
0.23;0.27;6.5;0.76;0.012;0.039;259;29;2.5;35;0.059950533
0.21;0.38;3.6;1.25;0.016;0.037;260;30;2.6;41.7;0.001736788
0.24;0.28;6.7;0.66;0.019;0.026;261;32;2.7;38.2;0.058030011
0.17;0.38;5.1;1.06;0.022;0.033;262;32;2.6;36;0.008123123
0.18;0.36;6.5;1.17;0.008;0.03;263;30;2.7;40.2;0.019413307
0.24;0.34;7.4;0.65;0.008;0.035;264;29;2.2;39.1;0.043784632
0.16;0.3;6.2;1.05;0.015;0.033;265;28;2.4;42.6;0.046687991
0.22;0.28;3.2;1.17;0.017;0.027;266;33;2.3;42;0.004254724
0.15;0.24;8;0.96;0.022;0.034;267;31;2.2;39.3;0.246381431
0.22;0.27;5.3;0.66;0.024;0.034;268;29;2.7;41.9;0.04474964
0.22;0.21;4.4;0.68;0.016;0.033;269;33;2.6;44.5;0.061362141
0.24;0.36;6.1;0.52;0.016;0.031;270;29;2.6;43.4;0.025357029
0.16;0.37;3.5;1.26;0.023;0.032;271;30;2.6;35.7;0.002086617
0.16;0.21;7.1;0.7;0.008;0.026;272;31;2.4;43.9;0.288276468
0.24;0.29;2.9;1.16;0.019;0.03;273;31;2.4;38;0.001921643
0.19;0.26;3.1;0.57;0.017;0.026;274;29;2.2;39.2;0.010266745
0.16;0.28;3.1;0.64;0.021;0.034;275;32;2.1;40;0.009902987
0.24;0.31;6.6;1.26;0.015;0.029;276;29;2.4;36.6;0.021348478
0.18;0.25;5.5;0.82;0.015;0.027;277;32;2.5;43.5;0.058648678
0.18;0.26;7.2;1.27;0.02;0.03;278;32;2.4;39;0.079768138
0.22;0.39;4.3;1.06;0.012;0.038;279;29;2.6;36.4;0.002316938
0.15;0.3;7;0.89;0.012;0.027;280;30;2.7;36.3;0.059567571
0.18;0.25;7.8;1.21;0.01;0.038;281;30;2.6;41.2;0.135257387
0.24;0.2;4.6;0.56;0.015;0.034;282;29;2.2;39.5;0.080086088
0.22;0.31;4.2;0.9;0.017;0.04;283;30;2.2;41.2;0.009779303
0.16;0.33;6;0.87;0.019;0.035;284;31;2.5;39.3;0.030762027
0.23;0.29;4.8;1.23;0.013;0.028;285;29;2.1;44.6;0.013113238
0.24;0.35;3.7;1.07;0.011;0.029;286;33;2.7;43.1;0.002193216
0.18;0.22;3.2;1.21;0.023;0.034;287;29;2.1;43.6;0.016094189
0.25;0.26;5.2;0.92;0.016;0.037;288;31;2.4;41.3;0.029625983
0.19;0.28;5.7;0.8;0.01;0.038;289;30;2.1;43.5;0.046525051
0.21;0.28;3.1;0.71;0.012;0.039;290;29;2.6;44.6;0.007092677
0.16;0.27;3.3;0.97;0.014;0.03;291;30;2.6;41.2;0.008587543
0.23;0.37;6.1;1.01;0.017;0.031;292;33;2.3;41.1;0.012168335
